gbm	categ
TBC1D32	1
LPHN3	1
EIF2AK3	1
ZNF668	1
FAM57B	1
SCAF11	1
USF1	1
ASCC3	1
TMPRSS6	1
ITGB4	1
NBPF14	1
LPAR2	1
LIMCH1	1
NEBL	1
RPUSD2	1
PLEKHH1	1
SLC22A2	1
EPS8L1	1
CENPF	1
EHD3	1
RASGRF2	1
C1orf173	1
NBPF9	1
CAPN9	1
UNC13C	1
BC101079	1
MDC1	1
DNMT3A	1
NYNRIN	1
LGSN	1
TLN1	1
SLC9A4	1
ZBTB10	1
TUBBP5	1
PRKCQ	1
TDRD9	1
TACC2	1
MORC1	1
SIPA1L2	1
CHEK2	1
CRTAC1	1
PCDHB7	1
TICRR	1
HAO1	1
NTN4	1
MYH7B	1
QKI	1
PEG3	1
MX2	1
COL4A4	1
GCN1L1	1
COL6A6	1
SHROOM3	1
SCN3A	1
AMBRA1	1
ARL13B	1
PIK3R5	1
SUCNR1	1
LRRC55	1
SETD2	1
IL4R	1
PPAN-P2RY11	1
CHAT	1
TRIM51	1
KIRREL2	1
CNTN6	1
LTBP2	1
HEXA	1
SV2B	1
TMEM59	1
PTPRS	1
RP11-385D13.1	1
GRIK3	1
KRT37	1
SLAMF6	1
HINFP	1
SIGLEC6	1
CCNB3	1
HES4	1
VWA3A	1
SSPO	1
MET	1
DMBT1	1
DDX39A	1
C3orf67	1
PIK3C2B	1
SMG1	1
RASAL3	1
MYO3B	1
USP6	1
IGF2BP1	1
RSF1	1
TAS2R43	1
DHX38	1
MFHAS1	1
MICAL1	1
ADAMTS12	1
TIFA	1
THSD7A	1
SIGLEC8	1
SDHAP2	1
OR5AR1	1
FCER1A	1
TJP3	1
PCDHGA7	1
KRT7	1
FOXD4L5	1
GABRB2	1
SEC14L5	1
ACSM2B	1
SLC26A5	1
DOCK1	1
EML5	1
CHST14	1
BIRC6	1
DUOX2	1
HEATR5B	1
CLCNKB	1
NRK	1
LILRB3	1
RERE	1
SLC5A10	1
ABCC4	1
NFRKB	1
ITGB2	1
REPIN1	1
GMIP	1
CHGB	1
HEATR5A	1
XPO1	1
PHRF1	1
TLCD1	1
DOCK2	1
HLA-A	1
CHTF18	1
KCNB2	1
LOC645752	1
CD163L1	1
RB1CC1	1
OTOGL	1
OTOA	1
CCDC132	1
PKDREJ	1
SPRY2	1
ERG	1
FNDC1	1
PEX1	1
PRB2	1
KDM5C	1
ATP8B4	1
LILRB2	1
HTR3A	1
PROKR2	1
TRPV5	1
PARP4	1
FXR1	1
PRSS16	1
IFT172	1
ZNF844	1
PASD1	1
YSK4	1
LILRA6	1
CCDC158	1
CCDC27	1
FILIP1	1
RECQL5	1
EPHB6	1
FANCD2	1
AMT	1
MGAT3	1
ZNF292	1
GAK	1
